Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,33.099998,33.119999,32.980000,33.119999,33.119999,2000
2016-01-05,32.650002,32.849998,32.650002,32.840000,32.840000,3800
2016-01-06,32.060001,32.070000,32.049999,32.049999,32.049999,1000
2016-01-07,31.730000,31.730000,31.549999,31.549999,31.549999,1000
2016-01-08,31.350000,31.420000,30.879999,30.879999,30.879999,3700
2016-01-11,30.910000,31.020000,30.809999,30.900000,30.900000,2700
2016-01-12,30.770000,31.000000,30.629999,30.950001,30.950001,10300
2016-01-13,31.320000,31.350000,31.320000,31.350000,31.350000,2300
2016-01-14,30.760000,31.170000,30.760000,31.120001,31.120001,3200
2016-01-15,30.010000,30.010000,29.840000,30.010000,30.010000,900
2016-01-19,30.309999,30.340000,29.959999,30.230000,30.230000,4800
2016-01-20,28.530001,28.780001,28.299999,28.620001,28.620001,11300
2016-01-21,28.040001,28.620001,28.040001,28.370001,28.370001,10100
2016-01-22,29.700001,29.990000,29.639999,29.950001,29.950001,16800
2016-01-25,30.320000,30.350000,29.799999,30.040001,30.040001,15800
2016-01-26,29.500000,29.680000,29.450001,29.590000,29.590000,191900
2016-01-27,30.150000,30.379999,30.010000,30.230000,30.230000,171900
2016-01-28,27.360001,27.360001,26.510000,27.000000,27.000000,101600
2016-01-29,25.790001,26.030001,25.450001,26.030001,26.030001,85700
2016-02-01,25.969999,26.020000,25.730000,25.940001,25.940001,4900
2016-02-02,25.610001,25.790001,25.469999,25.650000,25.650000,17900
2016-02-03,24.500000,24.730000,24.209999,24.540001,24.540001,7800
2016-02-04,25.080000,25.320000,25.080000,25.139999,25.139999,9300
2016-02-05,25.559999,25.660000,25.440001,25.459999,25.459999,27400
2016-02-08,25.610001,25.760000,25.360001,25.760000,25.760000,19400
2016-02-09,24.500000,24.549999,24.160000,24.469999,24.469999,23900
2016-02-10,25.410000,25.559999,25.230000,25.379999,25.379999,1110000
2016-02-11,24.900000,24.900000,24.450001,24.790001,24.790001,12600
2016-02-12,24.790001,25.549999,24.790001,25.549999,25.549999,279600
2016-02-16,26.719999,26.719999,26.230000,26.500000,26.500000,25500
2016-02-17,26.750000,27.200001,26.750000,27.100000,27.100000,72000
2016-02-18,28.920000,28.920000,28.400000,28.400000,28.400000,13200
2016-02-19,27.879999,27.889999,27.580000,27.719999,27.719999,7200
2016-02-22,27.480000,27.709999,27.440001,27.690001,27.690001,7000
2016-02-23,27.000000,27.000000,26.680000,26.840000,26.840000,13200
2016-02-24,25.670000,26.350000,25.670000,26.350000,26.350000,7100
2016-02-25,26.709999,26.709999,26.020000,26.600000,26.600000,10200
2016-02-26,26.900000,26.959999,26.629999,26.629999,26.629999,5000
2016-02-29,26.360001,26.660000,26.330000,26.480000,26.480000,9200
2016-03-01,26.540001,26.790001,26.309999,26.790001,26.790001,14600
2016-03-02,27.930000,27.940001,27.799999,27.940001,27.940001,9300
2016-03-03,28.160000,28.379999,28.000000,28.370001,28.370001,8300
2016-03-04,29.080000,29.110001,28.709999,29.090000,29.090000,2200
2016-03-07,28.590000,28.660000,28.459999,28.629999,28.629999,4200
2016-03-08,28.250000,28.420000,28.090000,28.379999,28.379999,5900
2016-03-09,28.040001,28.299999,28.040001,28.049999,28.049999,3200
2016-03-10,28.650000,28.650000,28.200001,28.420000,28.420000,3200
2016-03-11,29.100000,29.160000,29.100000,29.160000,29.160000,3200
2016-03-14,29.340000,29.700001,29.340000,29.700001,29.700001,3100
2016-03-15,29.219999,29.670000,29.219999,29.629999,29.629999,24800
2016-03-16,29.250000,29.610001,29.080000,29.610001,29.610001,166300
2016-03-17,29.129999,29.270000,29.000000,29.270000,29.270000,6600
2016-03-18,28.709999,29.309999,28.709999,29.290001,29.290001,22700
2016-03-21,29.459999,29.459999,29.129999,29.400000,29.400000,8400
2016-03-22,29.990000,30.530001,29.990000,30.480000,30.480000,7200
2016-03-23,29.690001,29.690001,29.100000,29.100000,29.100000,1800
2016-03-24,29.020000,29.020000,28.799999,28.850000,28.850000,9800
2016-03-28,30.650000,30.650000,29.240000,29.309999,29.309999,6500
2016-03-29,29.700001,30.190001,29.620001,30.190001,30.190001,6400
2016-03-30,30.340000,30.340000,29.770000,29.770000,29.770000,2700
2016-03-31,30.000000,30.100000,29.730000,29.730000,29.730000,10200
2016-04-01,28.059999,28.110001,27.780001,28.110001,28.110001,2600
2016-04-04,27.990000,28.430000,27.900000,28.350000,28.350000,1500
2016-04-05,28.000000,28.520000,27.730000,28.520000,28.520000,27900
2016-04-06,28.379999,28.450001,28.180000,28.450001,28.450001,5500
2016-04-07,28.290001,28.570000,28.000000,28.200001,28.200001,5700
2016-04-08,29.400000,29.629999,29.209999,29.209999,29.209999,18200
2016-04-11,29.459999,29.719999,29.309999,29.500000,29.500000,6700
2016-04-12,30.270000,30.639999,30.270000,30.510000,30.510000,6600
2016-04-13,31.700001,32.150002,31.700001,32.119999,32.119999,2800
2016-04-14,32.419998,32.820000,32.419998,32.669998,32.669998,14400
2016-04-15,31.860001,32.119999,31.860001,32.009998,32.009998,2500
2016-04-18,32.000000,32.000000,31.930000,31.990000,31.990000,27900
2016-04-19,32.810001,32.810001,32.400002,32.650002,32.650002,35300
2016-04-20,32.900002,33.209999,32.419998,33.000000,33.000000,5700
2016-04-21,31.600000,31.850000,31.549999,31.549999,31.549999,12400
2016-04-22,32.400002,32.660000,32.320000,32.360001,32.360001,3400
2016-04-25,32.160000,32.689999,32.160000,32.689999,32.689999,4700
